日期,睡眠分,睡眠时长,深睡时长,REM时长,浅睡时长,睡眠效率,入睡耗时,就寝时间,起床时间,Readiness,RHR,HRV,体温偏移,活动分,步数
2026-07-02,73,5.52,1.23,1.43,2.86,95,11,03:05,08:55,76,57,48,-0.08,81,10378
2026-07-03,73,0.5,0.16,1.38,0.34,75,9,15:32,16:12,66,61,35,-0.11,83,8774
2026-07-04,78,0.74,0.14,0.08,0.52,83,6,13:29,14:23,79,71,38,0,90,5713
2026-07-05,63,6.21,0.82,1.63,3.76,69,21,01:44,10:41,74,54,55,-0.24,76,5240
2026-07-06,48,3.83,0.85,0.94,2.04,93,4,07:08,11:16,64,57,47,0.36,64,2055
2026-07-07,71,5.22,1.01,1.21,3.01,87,10,05:55,11:56,76,59,38,0.16,59,3861
2026-07-08,64,5.3,1.04,1.14,3.12,96,6,04:57,10:28,70,55,48,-0.16,57,1903
2026-07-09,59,0.33,0.12,0.76,0.21,62,12,15:50,16:22,68,56,38,-0.12,65,3948
2026-07-10,76,6.47,0.93,1.35,4.19,91,10,01:33,08:41,66,59,35,0.24,69,10713
2026-07-11,75,0.75,0.21,0.16,0.38,81,6,11:52,12:48,68,63,44,-0.02,78,12417
2026-07-12,86,8.18,1.37,2.08,4.74,83,13,00:53,10:44,85,55,52,0.05,76,5565
2026-07-13,65,5.03,0.99,1.11,2.93,90,12,04:04,09:37,67,57,38,0.01,82,7547
2026-07-14,87,7.36,1.43,1.93,4.01,96,7,01:44,09:23,83,55,48,-0.07,88,8997
2026-07-15,74,6.24,1.09,1.16,3.99,92,10,01:02,07:48,72,56,41,0.16,85,5419
2026-07-16,78,6.8,1.12,1.64,4.03,86,18,01:44,09:40,80,54,48,-0.01,88,2632
2026-07-17,80,0.49,0.17,1.38,0.33,78,6,17:09,17:47,82,57,46,0.24,89,8750
2026-07-18,77,5.91,1.21,1.38,3.32,93,11,02:41,09:01,76,55,38,0.15,88,10022
2026-07-19,39,1.49,0.42,0.35,0.72,83,11,08:53,10:40,57,59,47,,93,8102
2026-07-20,65,5.05,0.93,0.84,3.28,87,11,02:33,08:21,66,57,50,-0.14,89,8148
2026-07-21,74,5.98,1.35,1.18,3.46,91,18,03:14,09:49,74,57,46,-0.32,83,7517
2026-07-22,73,5.41,0.86,1.46,3.09,93,12,02:51,08:41,66,56,41,-0.19,85,7340
2026-07-23,71,5.34,0.95,1.25,3.14,90,14,02:50,08:45,72,54,53,0.06,92,1589
